Judul,Penerbit,Tahun Terbit,Tempat Terbit,Pengarang,Tipe Koleksi
manajemen proyek sistem informasi bagaimana kelola proyek sistem informasi cara efektif dan efisien,elex media komputindo,2003,jakarta,widyanahar nur ali,informatika
mastering ajax dan php,nuha medika,2014,yogyakarta,nugroho taufanutama indra bobby,informatika
mastering delphi x,politeknik harapan bersama tegal,2021,tegal,yerry febrian sabanise m kommiftakhul huda m komfiqie mustofa alwy,informatika
mastering microsoft project langkah mudah merencakana kendali proyek,konsorsium rumah sakit islam jateng-diy,2007,yogyakarta,sabarguna boy ssafrizal heri,informatika
matlab untuk aljabar linier dan matrik,sekretariat jenderal mpr ri,2014,jakarta,republik indonesia,informatika
matlab untuk mahasiswa ajar dari studi kasu,departemen kesehatan ri,1980,indonesia,departemen kesehatan republik indonesia,informatika
lumpuh hacker dengan web application firewall waf,politeknik harapan bersama tegal,2020,tegal,yeni priatna sari m si ak cadewi kartika se caatfitrotunnisa,informatika
bangun aplikasi android web dan web servic,leskonfi,2011,depok,priyanto,informatika
bangun aplikasi java enterprise dengan arsitektur model view controller mvc,bumi aksara,2012,jakarta,priyatni endah tri,informatika
bangun aplikasi guna qt designer dengan database postgresql mysql,informatika,2019,bandung,setiawan eko budiramdany angga try,informatika
bangun infrastruktur komputasi awan privat guna ubuntu enterprise cloud,andi,2006,yogyakarta,rafiudin rahmat,informatika
bangun it savvy untuk jadi organisasi digital mast,elex media komputindo,2004,jakarta,benadi beny,informatika
bangun sistem andal dengan delphi,politeknik harapan bersama tegal,2015,tegal,muhis abdul,informatika
bangun sistem basis data dengan oraclex,politeknik harapan bersama tegal,2014,tegal,arga dwi asih sapta,informatika
bangun web dengan php mysql untuk mula programm,andi,2010,yogyakarta,purnomo,informatika
bongkar source code bagai aplikasi android,politeknik harapan bersama tegal,2013,tegal,azizah idaul,informatika
bongkar teknologi pemrograman web servic,politeknik harapan bersama tegal,2020,tegal,rais s pd m komprasetio oktav catur,informatika
bongkar teknologi pemrograman web service jilid,politeknik harapan bersama tegal,2020,tegal,setyawan nanang dwi,informatika
buat aplikasi database sql server dengan visual basic cd studi kasus buat sistem informasi apotek,politeknik harapan bersama tegal,2013,tegal,aldarus rizky maulana,informatika
buat aplikasi koperasi simpan pinjam dengan php mysql dan dreamweav,politeknik harapan bersama tegal,2013,tegal,lutfanah umi,informatika
buat sendiri aplikasi e commerce dengan php dan mysql guna codelgniter dan jqueri,andi,2015,yogyakarta,sanjaya mada,informatika
buat sendiri aplikasi web mobile guna jquery mobil,politeknik harapan bersama tegal,2014,tegal,varizal mohammad,informatika
buat sendiri cloud computing server guna open sourc,penebar plus,2005,jakarta,hambali erlizasuryani anirivai mira,informatika
buat web e commerce dengan adobe dreamweaver cs,elex media komputindo,2006,jakarta,juju dominikus,informatika
kelola peta dijital cara dapat kelola peta dijital penting gratis di jaring internet,arfino raya,2008,bandung,rohyana solih,informatika
ubah windows jadi linux mac os windows,elex media komputindo,2018,jakarta,santoso singgih,informatika
rancang web guna dreamweaver teknik ajar,politeknik harapan bersama tegal,2017,tegal,ginanjar wiro sasmito m komwardani yuliana kusuma,informatika
mikroprosesor intel arsitektur pemrograman dan antarmuka pentium pentium pro prosesor pentium ii pentium iii pentium jilid edisi,graha ilmu,2013,yogyakarta,sumardi,informatika
mobile app development with phonegap,bip ( bhuana ilmu populer ),2017,jakarta,mims,informatika
modul pemrograman web html php mysql mariadb edisi,egc,2011,jakarta,tiar esturiskiyah sapte yantiariani fruriolinawho,informatika
modul pemrograman web html php mysql edisi ke tiga,egc,2012,jakarta,maryunani aniekwidyastuti palupiwho,informatika
modul pemrograman web html php dan mysql revisi dua,egc,2012,jakarta,whowidyastuti palupi,informatika
mudah ajar java revisi dua,gava media,2021,jakarta,luwis,informatika
mudah ajar php teknik guna fitur fitur baru dalam php,republika,2019,jakarta,fahd pahdepie,informatika
mudah ajar python untuk aplikasi dekstop dan web,andi,2010,yogyakarta,frieyadie,informatika
mudah ajar ruby bahasa pemrograman yang mulai banyak guna programmer saat ini untuk selesai bagai masalah pemrograman,informatika,2012,bandung,raharjo budiheryanto imamharyono arif,informatika
mudah dan cepat buat program skripsi dan tugas akhir dengan android,informatika,2015,bandung,raharjo budi,informatika
mudah dan cepat buat website dengan codeignit,informatika,2015,bandung,raharjo budi,informatika
mudah buat aplikasi android dengan ionic,informatika bandung,2017,bandung,raharjo budi,informatika
mudah buat mobile application dengan flash lite,elex media komputindo,2018,jakarta,supardi yuniarsetiawan iwan,informatika
mudah ajar database mysql,cv . andi offest,2011,yogyakarta,wahana komputer,informatika
mudah jadi programmer ajax,elex media komputindo,2018,jakarta,abdulloh rohi,informatika
network forensics pandu analisis investigasi paket data jaring guna wireshark,perpustakaan nasional republik indonesia,2018,tegal,hidayatullah h dede,informatika
network hacking dengan linux backtrack,nusamedia,2019,jakarta,sarbaini,informatika
oracle pandu pl sql oracl,politeknik harapan bersama tegal,2015,tegal,rustiyanto apriyadi,informatika
pandu lengkap pemrograman android,elex media komputindo,2006,jakarta,kusrianto adi,informatika
pandu lengkap pemrograman visual foxpro,elex media komputindo,2004,jakarta,kusrianto adi,informatika
pandu mudah buat augmented r,andi,2016,yogyakarta,juhara zamrony p,informatika
pandu praktis delphi,egc,2006,jakarta,ekasari mia fatma dkk,informatika
pandu praktis php dan mysql untuk profesion,trans info media,2012,jakarta,lisnawati lilis,informatika
model sistem informasi orientasi objek dengan uml,politeknik harapan bersama tegal,2014,tegal,tarikhi mukhibuddin,informatika
pemrograman android black box,politeknik harapan bersama tegal,2016,tegal,utomo kujang tri,informatika
pemrograman aplikasi android dengan sencha touch,informatika,2013,bandung,r h sianiparwiryajati i ketutmangiri herry s,informatika
pemrograman basis data bas web guna php mysql,andi,2015,yogyakarta,wahana komputer,informatika
pemrograman c untuk mula,graha ilmu,2011,yogyakarta,anamisa devie rosakustiyahningsih yeni,informatika
pemrograman c dasar pemrograman orientasi objek,elex media komputindo,2007,jakarta,indrajanimartin,informatika
pemrograman c bahas pemrograman orientasi objek guna turbo c dan borland c,bpfe,2000,yogyakarta,sumiyana,informatika
pemrograman c mudah dan cepat jadi master c ungkap rahasia pemrograman dalam c,bpfe,2009,yogyakarta,sumiyana,informatika
pemrograman cnc aplikasi di dunia industri,andi,2012,yogyakarta,r h sianipar,informatika
pemrograman dekstop database phyton mysql dengan boa constructor,graha ilmu,2007,yogyakarta,husni,informatika
pemrograman game d dengan directx,elex media komputindo,2005,jakarta,alam m agus j,informatika
pemrograman game dengan java dan gtg,andi,2013,yogyakarta,hudaya kharisman kholid,informatika
pemrograman gui dengan c dan qt,andi,2012,yogyakarta,nugroho nw andi taru,informatika
pemrograman gui dengan python dan pyqt,andi,2014,yogyakarta,maulana irman,informatika
pemrograman jme ajar cepat pemrograman perangkat telekomunikasi mobil,andi,2010,yogyakarta,nugroho nw andi taru,informatika
pemrograman java guna ide eclipse callisto,informatika,2016,bandung,raharjo budi,informatika
pemrograman java guna ide eclipse callisto dalam terap pada kembang aplikasi java ee dengan konsep enterprise java bean dan web servic,informatika,2016,bandung,raharjo budi,informatika
pemrograman java servlet dan jsp dengan netbean,informatika,2010,bandung,rosa a sshalahuddin m,informatika
pemrograman java tingkat lanjut,andi,2011,yogyakarta,kurniawan agus,informatika
pemrograman java untuk programm,andi,2008,yogyakarta,nugroho adi,informatika
pemrograman javascript teori dan implementasi,andi,2008,yogyakarta,nugroho adi,informatika
pemrograman matlab dalam contoh dan terap,andi,2007,new york,wijono matius soesilowijono g sri hartatisuharto b herry,informatika
pemrograman mobile dengan phonegap,andi,2015,yogyakarta,r h sianipar,informatika
pemrograman php codeigniter black box,informatika,2013,bandung,r h sianipar,informatika
pemrograman python teori dan implementasi,elex media komputindo,2013,jakarta,tim ems,informatika
pemrograman smart phone guna sdk android dan hacking android,informatika,2015,bandung,r h sianiparwadi hamzan,informatika
pemrograman sql dan database server mysql,politeknik harapan bersama tegal,2020,tegal,dani fitria brilianti m pdmaulana abdullah syifa,informatika
pemrograman stored procedure pada mysql,politeknik harapan bersama tegal,2021,tegal,eko budihartono st m komjimmy wijaya sabara stmuhammad iqbal maulana,informatika
pemrograman web dengan html revisi ke,politeknik harapan bersama tegal,2018,tegal,much sobri sungkar m kommuh nana aviciena s pdmukhsinin tohuron,informatika
pemrograman web dengan php,graha ilmu,2013,yogyakarta,istiyanto jazi eko,informatika
pemrograman web dengan php,andi,2005,yogyakarta,suja iman,informatika
pemrograman web dinamis guna java server pages dengan database relational mysql,andi,2015,yogyakarta,kristiono privida,informatika
pemrograman web services dan soa dengan netbean,informatika,2014,bandung,sidik betha,informatika
terap data mining dengan matlab,politeknik harapan bersama tegal,2013,tegal,mufied abdul,informatika
antar komputasi numerik dengan matlab,parama ilmu,2020,jakarta,ngalimun,informatika
antar teknologi informasi edisi revisi,egc,1995,jakarta,chandra budiman,informatika
antar teknologi informasi untuk bisni,rajawali pers,2017,jakarta,johanes supranto,informatika
kenal unix dan linux,politeknik harapan bersama tegal,2015,tegal,maulana ardhi bagus,informatika
guna metode analytical hierarchy process ahp,politeknik harapan bersama tegal,2018,tegal,heru nurcahyo s farm m sc aptmoh ikhsanudin s si m sc apthudan,informatika
olah citra digital guna delphi,politeknik harapan bersama tegal,2020,tegal,imam bukhari s kom mmalfarizi naufal zidan,informatika
olah sinyal digital dengan pemrograman matlab,politeknik harapan bersama tegal,2016,tegal,prahmawati efa,informatika
pentaho solusi open source untuk bangun data warehous,politeknik harapan bersama tegal,2016,tegal,cahyowati eka,informatika
tuntun praktis ajar sql,politeknik harapan bersama tegal,2017,tegal,hesti widiantimsinovian ay mbasetiawan henri,informatika
ancang antarmuka untuk interaksi manusia dan komputer user interface design for human and computer interact,graha ilmu,2008,jakarta,purwanto eko budi,informatika
ancang object oriented software dengan uml,politeknik harapan bersama tegal,2021,tegal,m taufik qurohman m pdsyarifudin m troy damara,informatika
kembang teknologi komunikasi,gajah mada university press,2007,yogyakarta,moh anief,informatika
php pemrograman orientasi objek konsep dan implementasi,intimedia,2017,jakarta,agus sugianto,informatika
pintar pemrograman aplikasi iphone dan ipad,maxikom,2010,palembang,kuniawan rulianto,informatika
program aplikasi client server olah data akademik dan sistem jual padu dengan visual basic dan borland delphi,politeknik harapan bersama tegal,2014,tegal,saputra deni aris,informatika
programmable logic controller teori pemrograman dan aplikasi dalam otomasi sistem,politeknik harapan bersama tegal,2021,tegal,ahmad maulana s kommuhammad bakhar m kommuhammad yazid bustomi,informatika
proyek bangun responsive web design dengan bootstrap,politeknik harapan bersama tegal,2021,tegal,yerry febrian sabanise m kommiftakhul huda m komdarwis khitami,informatika
proyek bangun website dengan yii framework,politeknik harapan bersama tegal,2018,tegal,roni darpono stsunardi riswanbahrun niam mt,informatika
proyek buat web profesional dengan framework cakephp,politeknik harapan bersama tegal,2018,tegal,hakim sofangunawan alim stbahrun niam mt,informatika
proyek buat website iklan dengan php,politeknik harapan bersama tegal,2021,tegal,mohammad humam m komqirom s pd mtdwi daryanti,informatika
python untuk programmer mula,politeknik harapan bersama tegal,2016,tegal,kautsar ahmad faiz al,informatika
rahasia inti master php mysqli improv,politeknik harapan bersama tegal,2014,tegal,ramadhan singgih,informatika
rancang bangun aplikasi multiplatform android ios windows phone blackberry symbian,politeknik harapan bersama tegal,2016,tegal,akhsani novan akbar,informatika
raspberry pi mikrokontroler mungil yang serba bisa,rekayasa sains,2015,bandung,r h sianipar,informatika
rekayasa perangkat lunak dekat praktisi edisi buku,politeknik harapan bersama tegal,2020,tegal,muhammad bakhar m komramadhani desty anggi,informatika
rekayasa perangkat lunak dekat praktisi edisi buku,politeknik harapan bersama tegal,2015,tegal,rahmawati riris,informatika
rekayasa perangkat lunak yang dinamis dengan global extreme program,politeknik harapan bersama tegal,2020,tegal,maulana irfanarfan haqiqi sulasmoro m kom,informatika
responsive web design with bootstrap,salemba empat,2006,jakarta,sekaran uma,informatika
sensor layar sentuh aplikasi teknologi nano,universitas gadjah mada,2017,yogyakarta,universitas gadjah madadepartemen teknik mesin dan industri fakultas teknik mesin ugm,informatika
simulink matlab ajar dari contoh,politeknik harapan bersama tegal,2013,tegal,rokhmah nur,informatika
sinyal dan sistem dengan matlab,politeknik harapan bersama tegal,2016,tegal,taupik ahmadfahmi alihartanto aguspriyanto ari,informatika
sistem basis data oracle g,politeknik harapan bersama tegal,2020,tegal,jatmiko indriyanto m komistifani nur rizqi,informatika
sistem digital analisis desain dan implementasi,politeknik harapan bersama tegal,2013,tegal,susilowati yuli,informatika
sistem informasi akademik kampus bas web dengan laravel,politeknik harapan bersama tegal,2021,tegal,rita masfufah,informatika
sistem informasi geografis konsep dasar perspektif geodesi dan geomatika edisi revisi,politeknik harapan bersama tegal,2018,tegal,kusuma hafitri wiwinarfan haqiqi sulasmoro m komindra dwi hasta s komanggreani mega dwi,informatika
sistem informasi geografis dengan quantum gi,politeknik harapan bersama tegal,2014,tegal,saverin intan firstzaifah,informatika
sistem informasi geografis guna mapinfo,informatika,2014,bandung,prahasta eddy,informatika
sistem informasi manajemen management information system,politeknik harapan bersama tegal,2019,tegal,taufiq abidin s pd m komeffendi riza harun,informatika
sistem informasi manajemen kelola usaha digit,politeknik harapan bersama tegal,2019,tegal,taufiq abidin s pd m komtoasi ferian andhika,informatika
sistem informasi manajemen ed revisi,politeknik harapan bersama tegal,2019,tegal,eko budihartono st m komsaleh fahadfitriana leilaazhar ilham,informatika
sistem informasi manajemen kontemporer di era digit,salemba empat,2009,jakarta,mcleod jrraymondschell george p,informatika
smart city serta cloud computing dan teknologi dukung lain,politeknik harapan bersama,2021,tegal,apt rizki febriyanti m farmwilda amananti s pd m siizza khilyatun nisa,informatika
smart trik jquery without plugin,politeknik harapan bersama tegal,2020,tegal,mohammad humam m komimam bukhari s kom mmsafitri ayu nurrochman david nurbahtiar yuniarto,informatika
soal dan selesai c bahas bagai soal sangkut pemrograman algoritma dan struktur data,andi,2015,yogyakarta,rohingun,informatika
soal kasus dan selesai pemrograman java ajar paham dan eksplorasi,politeknik harapan bersama tegal,2019,tegal,taufiq abidin s pd m kommauliski rin okke,informatika
social networking hacked jurus rahasia hacking macam social networking bahas dalam buku,politeknik harapan bersama tegal,2015,tegal,rachman muhammad al ghofiqi aulia,informatika
software engineering rekayasa perangkat lunak edisi jilid,graha ilmu,2014,yogyakarta,prabowo desy esther,informatika
sql server express,politeknik harapan bersama tegal,2016,tegal,nugroho esa prasetio,informatika
